year,exchange_rate,gdp_uk,gdp_us,poverty_inflation_uk,poverty_inflation_us,unemployment_uk,unemployment_us,Brexit,COVID_19,US_Election,export_uk_to_us,export_us_to_uk
2013,0.639660578,2.78485E+12,1.68807E+13,2.291666667,1.464832656,7.704,7.375,0,0,0,62795006544,47339020691
2014,0.607729627,3.06471E+12,1.76081E+13,1.451120163,1.622222977,6.363,6.168,0,0,0,64197476293,53808146640
2015,0.654545479,2.92791E+12,1.8295E+13,0.368046842,0.118627136,5.517,5.28,0,0,0,69381206892,56103379996
2016,0.740634464,2.68911E+12,1.88049E+13,9.004208684,1.261583206,4.867,4.869,1,0,1,61568659268,55188786399
2017,0.776976682,2.68015E+12,1.96121E+13,10.57887789,2.130110004,4.452,4.355,1,0,0,59098116091,56242315595
2018,0.74953154,2.87134E+12,2.06565E+13,2.292839903,2.442583297,4.12,3.896,1,0,0,65985304785,66293664453
2019,0.78344511,2.85141E+12,2.154E+13,1.738104601,1.812210075,3.613,3.669,1,0,0,73528704688,69100919866
2020,0.779999577,2.69678E+12,2.13541E+13,0.989486704,1.233584396,4.472,8.055,1,1,1,55608216397,58975470173
2021,0.727064945,3.14332E+12,2.36812E+13,2.518371096,4.697858864,4.826,5.349,1,1,0,59891116695,61430610436
2022,0.811301716,3.11404E+12,2.60069E+13,7.922048831,8.002799821,3.73,3.65,1,1,0,64602353838,77261013672
2023,0.804538907,3.36986E+12,2.77207E+13,6.793967068,4.116338384,3.984,3.638,1,0,0,71907676265,74054013691
